"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","food_id","no_of_ingred","complexity"
"Gajar ka halwa","Carrots, milk, sugar, ghee, cashews, raisins","vegetarian",15,60,"sweet","dessert","Punjab","North",3,6,"MEDIUM"
"Cham cham","Flour, cream, sugar, saffron, lemon juice, coconut flakes","vegetarian",40,60,"sweet","dessert","West Bengal","East",24,6,"MEDIUM"
"Kheer sagar","Chenna, condensed milk, sugar, saffron, cardamom","vegetarian",25,60,"sweet","dessert","Odisha","East",25,5,"MEDIUM"
"Adhirasam","Rice flour, jaggery, ghee, vegetable oil, elachi","vegetarian",10,50,"sweet","dessert","West Bengal","East",37,5,"MEDIUM"
"Gavvalu","Rice flour, sugar, salt, ghee, semolina","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South",43,5,"MEDIUM"
"Ghevar","Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom","vegetarian",15,30,"sweet","dessert","Rajasthan","West",4,10,"HARD"
"Gulab jamun","Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water","vegetarian",15,40,"sweet","dessert","West Bengal","East",5,8,"HARD"
"Jalebi","Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North",7,9,"HARD"
"Bandar laddu","Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South",39,7,"HARD"
"Mysore pak","Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee","vegetarian",5,20,"sweet","dessert","Karnataka","South",46,8,"HARD"
"Obbattu holige","Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom","vegetarian",180,60,"sweet","main course","Karnataka","South",47,7,"HARD"
"Modak","Rice flour, coconut, jaggery ","vegetarian",10,15,"sweet","dessert","Maharashtra","West",61,3,"EASY"
"Maach Jhol","Fish, potol, tomato, chillies, ginger, garlic","non vegetarian",10,40,"spicy","main course","Assam","North East",65,6,"MEDIUM"
"Galho","Rice, axone, salt, water, chillies, pork","non vegetarian",5,15,"spicy","main course","Nagaland","North East",68,6,"MEDIUM"
"Aloo gobi","Cauliflower, potato, garam masala, turmeric, curry leaves","vegetarian",10,20,"spicy","main course","Punjab","North",69,5,"MEDIUM"
"Aloo tikki","Rice flour, potato, bread crumbs, garam masala, salt","vegetarian",5,20,"spicy","main course","Punjab","North",70,5,"MEDIUM"
"Aloo matar","Potato, peas, chillies, ginger, garam masala, garlic","vegetarian",5,40,"spicy","main course","Punjab","North",71,6,"MEDIUM"
"Aloo methi","Potato, fenugreek leaves, chillies, salt, oil","vegetarian",10,40,"bitter","main course","Punjab","North",72,5,"MEDIUM"
"Panjeeri","Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina","vegetarian",10,25,"sweet","dessert","Uttar Pradesh",NULL,111,5,"MEDIUM"
"Pattor","Arbi ke patte, sesame seeds, gur, bengal gram flour, imli","vegetarian",10,30,"spicy","main course","Rajasthan","West",114,5,"MEDIUM"
"Pindi chana","Fennel, tea bags, tomato, kasuri methi, cinnamon","vegetarian",500,120,"spicy","main course","Punjab","North",115,5,"MEDIUM"
"Sattu ki roti","Sattu, atta, dough, filling, mustard oil","vegetarian",10,20,"spicy","main course","Bihar","North",119,5,"MEDIUM"
"Shahi paneer","Cottage cheese, malai, garam masala, ginger, tomato","vegetarian",20,40,"spicy","main course","Punjab","North",120,5,"MEDIUM"
"Shahi tukra","Rose water, milk, white bread slices, saffron, almonds","vegetarian",10,30,"sweet","dessert","Telangana","South",121,5,"MEDIUM"
"Chicken Varuval","Meat curry powder, chicken chunks, ginger, tomato, cinnamon","non vegetarian",10,35,"spicy","main course","Tamil Nadu","South",164,5,"MEDIUM"
"Amti","Kala masala, arhar dal, curry leaves, mustard seeds, hot water","vegetarian",10,45,"spicy","main course","Maharashtra","West",166,5,"MEDIUM"
"Zunka","Gram flour, mustard, garlic, turmeric, red chilli","vegetarian",10,25,"spicy","main course","Maharashtra","West",167,5,"MEDIUM"
"Coconut vadi","Condensed milk, mawa, desiccated coconut, almonds, cashews","vegetarian",20,30,"sweet","dessert","Maharashtra","West",171,5,"MEDIUM"
"Chakali","Rice flour, sesame, plain flour, turmeric, red chilli","vegetarian",10,40,"spicy","snack","Maharashtra","West",174,5,"MEDIUM"
"Chevdo","Citric acid, fry, raisins, sugar, chana daal","vegetarian",20,30,"spicy","snack","Gujarat","West",175,5,"MEDIUM"
"Chorafali","Urad dal, bengal gram flour, dried mango, baking soda, black salt","vegetarian",5,15,"spicy","snack","Gujarat","West",176,5,"MEDIUM"
"Dhokla","Rava, coconut, gram flour, mustard, sesame","vegetarian",10,20,"spicy","snack","Gujarat","West",182,5,"MEDIUM"
"Balu shahi","Maida flour, yogurt, oil, sugar","vegetarian",45,25,"sweet","dessert","West Bengal","East",1,4,"EASY"
"Boondi","Gram flour, ghee, sugar","vegetarian",80,30,"sweet","dessert","Rajasthan","West",2,3,"EASY"
"Imarti","Sugar syrup, lentil flour","vegetarian",10,50,"sweet","dessert","West Bengal","East",6,2,"EASY"
"Kalakand","Milk, cottage cheese, sugar","vegetarian",20,30,"sweet","dessert","West Bengal","East",9,3,"EASY"
"Lassi","Yogurt, milk, nuts, sugar","vegetarian",5,5,"sweet","dessert","Punjab","North",12,4,"EASY"
"Petha","Firm white pumpkin, sugar, kitchen lime, alum powder","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North",14,4,"EASY"
"Phirni","Rice, sugar, nuts","vegetarian",30,20,"sweet","dessert","Odisha","East",15,3,"EASY"
"Rabri","Condensed milk, sugar, spices, nuts","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North",16,4,"EASY"
"Sheera","Semolina, ghee, nuts, milk","vegetarian",10,25,"sweet","dessert","Maharashtra","West",17,4,"EASY"
"Misti doi","Milk, jaggery","vegetarian",480,30,"sweet","dessert","West Bengal","East",30,2,"EASY"
"Haq Maas","Lamb, garam masala powder, curd, turmeric, bay leaf","non vegetarian",20,40,"spicy","main course","Assam","North East",236,5,"MEDIUM"
"Mishti Chholar Dal","Chana dal, fresh coconut, ginger, cinnamon, raisins","vegetarian",10,30,"sweet","main course","West Bengal","East",244,5,"MEDIUM"
"Prawn malai curry","Coconut milk, prawns, garlic, turmeric, sugar","non vegetarian",15,50,"spicy","main course","West Bengal","East",248,5,"MEDIUM"
"Shukto","Green beans, bitter gourd, ridge gourd, banana, brinjal","vegetarian",10,20,"spicy","main course","West Bengal","East",250,5,"MEDIUM"
"Khaman","Yogurt, fresh coconut, sesame seeds, semolina, gram flour","vegetarian",10,20,"spicy","snack","Gujarat","West",218,5,"MEDIUM"
"Pithe","Rice flour, wheat flour","vegetarian",15,35,"sweet","dessert","Assam","North East",32,2,"EASY"
"Masor tenga","Ridge gourd, fish, lemon, tomatoes, mustard oil","non vegetarian",15,25,"spicy","main course","Assam","North East",227,5,"MEDIUM"
"Koshimbir","Cucumber, carrot, tomatoes, cilantro","vegetarian",10,10,"spicy","main course","Maharashtra","West",196,4,"EASY"
"Sev tameta","Sev, ginger, tomato, sugar","vegetarian",20,30,"spicy","main course","Gujarat","West",205,4,"EASY"
"Sukhdi","Whole wheat flour, gur, clarified butter","vegetarian",10,20,"sweet","dessert","Maharashtra","West",207,3,"EASY"
"Khichu","Rice flour, sesame seeds, baking soda, peanut oil","vegetarian",5,10,"spicy","snack","Gujarat","West",215,4,"EASY"
"Til Pitha","Glutinous rice, black sesame seeds, gur","vegetarian",5,30,"sweet","dessert","Assam","North East",251,3,"EASY"
"Bebinca","Coconut milk, egg yolks, clarified butter, all purpose flour","vegetarian",20,60,"sweet","dessert","Goa","West",252,4,"EASY"
"Mawa Bati","Milk powder, dry fruits, arrowroot powder, all purpose flour","vegetarian",20,45,"sweet","dessert","Madhya Pradesh","Central",254,4,"EASY"
"Thepla","Chickpea flour, methi leaves, jowar flour, wheat flour","vegetarian",15,30,"spicy","snack","Gujarat","West",216,4,"EASY"
"Gheela Pitha","Sticky rice, rice flour, jaggery, orange rind","vegetarian",10,30,"sweet","dessert","Assam","North East",222,4,"EASY"
"Alu Pitika","Potatoes, mustard oil, fish, green chillies","non vegetarian",5,20,"spicy","main course","Assam","North East",226,4,"EASY"
"Singori","Khoa, coconut, molu leaf","vegetarian",10,20,"sweet","dessert","Uttarakhand","North",18,3,"EASY"
"Sohan halwa","Corn flour, ghee, dry fruits","vegetarian",10,60,"sweet","dessert","Uttar Pradesh","North",19,3,"EASY"
"Chhena jalebi","Chhena, sugar, ghee","vegetarian",10,50,"sweet","dessert","Odisha","East",21,3,"EASY"
"Chhena poda","Sugar, chenna cheese","vegetarian",10,45,"sweet","dessert","Odisha","East",23,2,"EASY"
"Ledikeni","Chhena, sugar, ghee","vegetarian",45,45,"sweet","dessert","West Bengal","East",26,3,"EASY"
"Lyangcha","Flour, fried milk power, sugar syrup","vegetarian",20,30,"sweet","dessert","Assam","North East",27,3,"EASY"
"Malapua","Yoghurt, refined flour, ghee, fennel seeds","vegetarian",10,120,"sweet","dessert","Bihar","North",28,4,"EASY"
"Mihidana","Besan flour, sugar, ghee","vegetarian",15,30,"sweet","dessert","West Bengal","East",29,3,"EASY"
"Pantua","Chhena, sugar, ghee, flour","vegetarian",45,45,"sweet","dessert","West Bengal","East",31,4,"EASY"
"Rasabali","Chenna, sweetened milk","vegetarian",15,30,"sweet","dessert","Odisha","East",33,2,"EASY"
"Ras malai","Chhena, reduced milk, pistachio","vegetarian",180,60,"sweet","dessert","West Bengal","East",34,3,"EASY"
"Rasgulla","Chhena, sugar, cardamom","vegetarian",10,90,"sweet","dessert","West Bengal","East",35,3,"EASY"
"Sandesh","Milk, sugar, saffron, cardamom","vegetarian",30,20,"sweet","dessert","West Bengal","East",36,4,"EASY"
"Ariselu","Rice flour, jaggery, ghee","vegetarian",15,75,"sweet","dessert","Andhra Pradesh","South",38,3,"EASY"
"Chikki","Peanuts, jaggery","vegetarian",10,20,"sweet","dessert","Maharashtra","West",40,2,"EASY"
"Dharwad pedha","Milk, Sugar, Dharwadi buffalo milk","vegetarian",20,60,"sweet","dessert","Karnataka","South",41,3,"EASY"
"Double ka meetha","Loaf bread, milk","vegetarian",20,30,"sweet","dessert","Telangana","South",42,2,"EASY"
"Kakinada khaja","Wheat flour, sugar","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South",44,2,"EASY"
"Kuzhi paniyaram","Black lentils, rice","vegetarian",10,20,"sweet","dessert","Kerala","South",45,2,"EASY"
"Palathalikalu","Rice flour, milk","vegetarian",10,25,"sweet","dessert","Andhra Pradesh","South",48,2,"EASY"
"Poornalu","Chana dal, jaggery","vegetarian",240,60,"sweet","dessert","Andhra Pradesh","South",49,2,"EASY"
"Pongal","Rice, jaggery, cashews, ghee","vegetarian",5,20,"sweet","dessert","Tamil Nadu","South",50,4,"EASY"
"Pootharekulu","Rice flour, powdered sugar, ghee","vegetarian",10,60,"sweet","dessert","Andhra Pradesh","South",51,3,"EASY"
"Qubani ka meetha","Apricots, sugar syrup","vegetarian",10,20,"sweet","dessert","Telangana","South",52,2,"EASY"
"Sheer korma","Vermicelli pudding, milk","vegetarian",10,20,"sweet","dessert","Telangana","South",53,2,"EASY"
"Unni Appam","Rice flour, banana, jaggery, coconut","vegetarian",10,20,"sweet","dessert","Tamil Nadu","South",54,4,"EASY"
"Kajjikaya","Rice flour, jaggery, coconut","vegetarian",40,15,"sweet","dessert","Andhra Pradesh","South",55,3,"EASY"
"Anarsa","Rice flour, jaggery, khus-khus seeds","vegetarian",10,50,"sweet","dessert","Maharashtra","West",56,3,"EASY"
"Basundi","Sugar, milk, nuts","vegetarian",10,35,"sweet","dessert","Gujarat","West",57,3,"EASY"
"Dhondas","Cucumber, rava","vegetarian",10,50,"sweet","dessert","Maharashtra","West",58,2,"EASY"
"Doodhpak","Milk, rice, sugar, dry fruits","vegetarian",10,60,"sweet","dessert","Gujarat","West",59,4,"EASY"
"Mahim halwa","Semolina, sugar","vegetarian",10,25,"sweet","dessert","Maharashtra","West",60,2,"EASY"
"Shankarpali","Sugar, ghee, maida flour, semolina","vegetarian",10,35,"sweet","dessert","Maharashtra","West",62,4,"EASY"
"Shrikhand","Curd, sugar, saffron, cardamom","vegetarian",10,720,"sweet","dessert","Maharashtra","West",63,4,"EASY"
"Sutar feni","Maida, sugar, ghee","vegetarian",15,55,"sweet","dessert","Maharashtra","West",64,3,"EASY"
"Chak Hao Kheer","Rice, milk, sugar, cardamom","vegetarian",240,45,"sweet","dessert","Manipur","North East",67,4,"EASY"
"Misi roti","Whole wheat flour, chickpea flour, green chilies","vegetarian",30,30,"spicy","main course","Punjab","North",102,3,"EASY"
"Paratha","Wheat flour, butter, potato, coriander","vegetarian",15,45,"spicy","main course","Punjab","North",113,4,"EASY"
"Idiappam","Rice flour, hot water, grated coconut","vegetarian",120,30,"spicy","snack","Tamil Nadu","South",130,3,"EASY"
"Keerai sadam","Greens, tomato, mustard seeds, fenugreek seeds","vegetarian",10,20,"spicy","main course","Tamil Nadu","South",136,4,"EASY"
"Kuzhakkattai","Sesame oil, raw rice, jaggery, grated coconut","vegetarian",10,90,"spicy","main course","Tamil Nadu","South",143,4,"EASY"
"Papadum","Lentils, black pepper, vegetable oil","vegetarian",5,5,"spicy","snack","Kerala","South",148,3,"EASY"
"Pesarattu","Green moong beans, rice flour","vegetarian",120,20,"spicy","snack","Andhra Pradesh","South",152,2,"EASY"
"Saath","Urad dal, potatoes, wheat flour, sooji","vegetarian",20,40,"spicy","main course","Gujarat","West",169,4,"EASY"
"Bajri no rotlo","Wheat flour, pearl millet flour, hot water","vegetarian",10,10,"spicy","main course","Gujarat","West",170,3,"EASY"
"Gud papdi","Wheat flour, jaggery, clarified butter, sliced almonds","vegetarian",10,20,"sweet","dessert","Gujarat","West",185,4,"EASY"
"Jeera Aloo","Green chilies, lemon juice, chili powder, boiled potatoes","vegetarian",10,30,"spicy","main course","Gujarat","West",189,4,"EASY"
"Keri no ras","Mango, sugar","vegetarian",10,10,"sour","main course","Gujarat","West",191,2,"EASY"
"Khakhra","Whole wheat flour, low fat, bengal gram flour","vegetarian",20,40,"spicy","snack","Gujarat","West",192,3,"EASY"
"Laapsi","Cinnamon, jaggery, clarified butter, dry roasted","vegetarian",10,40,"spicy","main course","Madhya Pradesh","Central",195,4,"EASY"
"Aloo shimla mirch","Potato, shimla mirch, garam masala, amchur powder, salt","vegetarian",10,40,"spicy","main course","Punjab","North",73,5,"MEDIUM"
"Bhatura","Chole, rava, yogurt, plain flour, baking soda","vegetarian",20,20,"spicy","main course","Punjab","North",74,5,"MEDIUM"
"Bhindi masala","Ladies finger, garam masala, kasuri methi, tomatoes, chili powder","vegetarian",20,30,"spicy","main course","Punjab","North",75,5,"MEDIUM"
"Biryani","Chicken thighs, basmati rice, star anise, sweet, green chillies","non vegetarian",30,120,"spicy","main course","Telangana","South",76,5,"MEDIUM"
"Butter chicken","Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North",77,6,"MEDIUM"
"Chana masala","Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil","vegetarian",20,30,"spicy","main course","Punjab","North",78,6,"MEDIUM"
"Chicken razala","Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron","non vegetarian",10,35,"spicy","main course","West Bengal","East",80,6,"MEDIUM"
"Chicken Tikka masala","Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala","non vegetarian",10,50,"spicy","main course","Punjab","North",81,5,"MEDIUM"
"Chicken Tikka","Chicken, whole wheat bread, rice flour, garam masala powder, whole egg","non vegetarian",120,45,"spicy","starter","Punjab","North",82,5,"MEDIUM"
"Chole bhature","Chole, bhatura, garam masala, bay leaf, cinnamon stick","vegetarian",20,30,"spicy","main course","Punjab","North",83,5,"MEDIUM"
"Daal baati churma","Moong dal, masoor dal, chana dal, wheat flour, almond","vegetarian",10,90,"spicy","main course","Rajasthan","West",84,5,"MEDIUM"
"Daal puri","Moong dal, garam masala powder, garlic, green chilli, all purpose flour","vegetarian",30,30,"spicy","main course","West Bengal","East",85,5,"MEDIUM"
"Dal makhani ","Red kidney beans, urad dal, cream, garam masala, chili powder","vegetarian",10,60,"sweet","main course","Punjab","North",86,5,"MEDIUM"
"Dal tadka","Pigeon peas, garam masala, ginger, red onion, kasuri methi","vegetarian",10,30,"spicy","main course","Punjab","North",87,5,"MEDIUM"
"Dum aloo","Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes","vegetarian",20,50,"spicy","main course","Jammu & Kashmir","North",88,5,"MEDIUM"
"Poha","Beaten rice flakes, potato, curry leaves, green chilies, lemon juice","vegetarian",20,30,"spicy","snack","Maharashtra","West",89,5,"MEDIUM"
"Fara","Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder","vegetarian",10,60,"spicy","snack","Chhattisgarh","Central",90,5,"MEDIUM"
"Kachori","Moong dal, rava, garam masala, dough, fennel seeds","vegetarian",30,60,"spicy","snack","Uttar Pradesh","North",91,5,"MEDIUM"
"Kadai paneer","Cottage cheese, bell peppers, gravy, garam masala, cashew nuts","vegetarian",20,30,"spicy","main course","Punjab","North",92,5,"MEDIUM"
"Kadhi pakoda","Besan, garam masala powder, gram flour, ginger, curry leaves","vegetarian",10,60,"spicy","main course","Haryana","North",93,5,"MEDIUM"
"Karela bharta","Bitter gourd, fennel, garam masala powder, chili powder, amchur powder","vegetarian",20,50,"bitter","main course","Punjab","North",94,5,"MEDIUM"
"Kofta","Paneer, potato, cream, corn flour, garam masala","vegetarian",20,40,"spicy","main course","Uttar Pradesh","North",96,5,"MEDIUM"
"Lauki ke kofte","Bottle gourd, garam masala powder, gram flour, ginger, chillies","vegetarian",20,40,"spicy","main course","Uttar Pradesh","North",98,5,"MEDIUM"
"Litti chokha","Wheat flour, roasted gram flour, tomato, nigella seeds, chilli","vegetarian",45,60,"spicy","main course","Bihar","North",100,5,"MEDIUM"
"Makki di roti sarson da saag","Palak, makki atta, mustard green, garam masala, ginger","vegetarian",25,30,"spicy","main course","Punjab","North",101,5,"MEDIUM"
"Mushroom do pyaza","Mushroom, malai, garam masala, ginger, capsicum","vegetarian",10,30,"spicy","main course","Punjab","North",103,5,"MEDIUM"
"Mushroom matar","Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes","vegetarian",10,30,"spicy","main course","Punjab","North",104,5,"MEDIUM"
"Navrattan korma","Green beans, potatoes, khus khus, low fat, garam masala powder","vegetarian",25,40,"spicy","main course","Uttar Pradesh","North",106,5,"MEDIUM"
"Palak paneer","Cottage cheese, palak, cream, garam masala, butter","vegetarian",20,40,"spicy","main course","Punjab","North",107,5,"MEDIUM"
"Paneer butter masala","Paneer, whipping cream, garam masala, cashew nuts, butter","vegetarian",20,40,"spicy","main course","Punjab","North",108,5,"MEDIUM"
"Paneer tikka masala","Paneer, greek yogurt, tandoori masala, cream, bell pepper","vegetarian",20,40,"spicy","main course","Punjab","North",109,5,"MEDIUM"
"Vegetable jalfrezi","Baby corn, french beans, garam masala, ginger, carrot","vegetarian",10,30,"spicy","main course","Punjab","North",122,5,"MEDIUM"
"Tandoori Chicken","Greek yogurt, garam masala, kasuri methi, marinade, mustard oil","non vegetarian",240,30,"spicy","main course","Punjab","North",123,5,"MEDIUM"
"Tandoori Fish Tikka","Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper","non vegetarian",240,30,"spicy","starter","Punjab","North",124,5,"MEDIUM"
"Attu","Whole wheat flour, arhar dal, ginger, kala jeera, green chilli","vegetarian",150,25,"spicy","snack","Andhra Pradesh","South",125,5,"MEDIUM"
"Avial","Raw banana, elephant foot yam, long beans, tindora, urad dal","vegetarian",30,45,"spicy","main course","Kerala","South",126,5,"MEDIUM"
"Bisi bele bath","Split pigeon peas, chana dal, urad dal, green peas, french beans","vegetarian",30,45,"spicy","main course","Karnataka","South",127,5,"MEDIUM"
"Currivepillai sadam ","Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South",128,5,"MEDIUM"
"Keerai kootu","Moong dal, chana dal, spinach, urad dal, coconut oil","vegetarian",20,30,"spicy","main course","Tamil Nadu","South",134,5,"MEDIUM"
"Keerai poriyal","Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili","vegetarian",20,30,"spicy","main course","Tamil Nadu","South",137,5,"MEDIUM"
"Beef Fry","Beef, coconut, garam masala, curry leaves, green chilies, chili powder","non vegetarian",10,60,"spicy","main course","Kerala","South",138,6,"MEDIUM"
"Kootu","Chana dal, urad dal, potato, beans, peas","vegetarian",10,15,"spicy","main course","Tamil Nadu","South",139,5,"MEDIUM"
"Kos kootu","Moong dal, chana dal, cabbage, tamarind, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South",140,5,"MEDIUM"
"Koshambri","Moong dal, cucumber, curry leaves, green chili, lemon juice","vegetarian",10,20,"spicy","main course","Karnataka","South",141,5,"MEDIUM"
"Kothamali sadam","Chana dal, urad dal, gooseberry, raw rice, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South",142,5,"MEDIUM"
"Kuzhambu","Pearl onions, urad dal, drumsticks, tomato, curry leaves","vegetarian",5,30,"spicy","main course","Tamil Nadu","South",144,5,"MEDIUM"
"Daal Dhokli","Whole wheat flour, dal, kokum, gur, bengal gram flour","vegetarian",20,30,"spicy","main course","Gujarat","West",178,5,"MEDIUM"
"Kutchi dabeli","Pav, aloo, peanut, pomegranate, star anise","vegetarian",30,10,"spicy","snack","Gujarat","West",179,5,"MEDIUM"
"Dudhi halwa","Bottle gourd, green, raisins, sugar, clarified butter","vegetarian",15,30,"sweet","dessert","Gujarat","West",183,5,"MEDIUM"
"Gatta curry","Yogurt, besan, sauce, garam masala powder, gram flour","vegetarian",10,20,"spicy","main course","Rajasthan","West",184,5,"MEDIUM"
"Handwo","Bottle gourd, chana dal, cabbage, urad dal, toor dal","vegetarian",20,30,"spicy","snack","Gujarat","West",187,5,"MEDIUM"
"Khandvi","Green chili paste, white sesame seeds, gram flour, curry leaves, green chili","vegetarian",20,45,"spicy","snack","Gujarat","West",193,5,"MEDIUM"
"Kombdi vade","Rice flour, urad dal, wheat flour, gram flour, turmeric","vegetarian",10,25,"spicy","snack","Maharashtra","West",194,5,"MEDIUM"
"Methi na Gota","Rava, gram flour, lemon juice, turmeric, fenugreek leaves","vegetarian",15,30,"bitter","main course","Gujarat","West",197,5,"MEDIUM"
"Mohanthal","Rose water, pistachio, badam, bengal gram flour, saffron","vegetarian",5,45,"sweet","dessert","Gujarat","West",198,5,"MEDIUM"
"Muthiya","Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour","vegetarian",15,30,"bitter","snack","Gujarat","West",199,5,"MEDIUM"
"Patra","Arbi ke patte, sesame seeds, gur, bengal gram flour, imli","vegetarian",10,40,"spicy","snack","Gujarat","West",200,5,"MEDIUM"
"Pav Bhaji","Pav bhaji masala, gobi, potatoes, green peas, dinner rolls","vegetarian",20,40,"spicy","main course","Maharashtra","West",201,5,"MEDIUM"
"Puri Bhaji","Aloo, urad dal, mustard, ginger, curry leaves","vegetarian",10,30,"spicy","main course","Maharashtra","West",202,5,"MEDIUM"
"Sabudana Khichadi","Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili","vegetarian",70,30,"spicy","snack","Maharashtra","West",203,6,"MEDIUM"
"Sev khamani","Khaman, pomegranate, sev, powdered sugar, garlic","vegetarian",20,30,"spicy","main course","Gujarat","West",204,5,"MEDIUM"
"Namakpara","Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil","vegetarian",10,35,"spicy","snack","Gujarat","West",206,5,"MEDIUM"
"Surnoli","Rice flakes, yogurt, raw rice, jaggery, grated coconut","vegetarian",60,10,"spicy","snack","Maharashtra","West",208,5,"MEDIUM"
"Thalipeeth","Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds","vegetarian",25,30,"spicy","main course","Maharashtra","West",209,5,"MEDIUM"
"Undhiyu","Sweet potato, surti papdi, baby potatoes, valor papdi, green peas","vegetarian",25,60,"spicy","main course","Gujarat","West",210,5,"MEDIUM"
"Veg Kolhapuri","Gobi, potato, beans, khus khus, coconut","vegetarian",20,30,"spicy","main course","Maharashtra","West",211,5,"MEDIUM"
"Vindaloo","Chicken, coconut oil, wine vinegar, ginger, green, cinnamon","non vegetarian",10,40,"spicy","main course","Goa","West",212,6,"MEDIUM"
"Lilva Kachori","Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour","vegetarian",30,6,"spicy","snack","Gujarat","West",213,5,"MEDIUM"
"Turiya Patra Vatana sabji","Ridge gourd, baking soda, sugar, grated coconut, peas","vegetarian",35,40,"spicy","main course","Gujarat","West",219,5,"MEDIUM"
"Churma Ladoo","Whole wheat flour, khus khus, sesame seeds, dry coconut, gur","vegetarian",12,40,"sweet","dessert","Rajasthan","West",220,5,"MEDIUM"
"Goja","Baking soda, clarified butter, oil, all purpose flour","vegetarian",20,60,"sweet","dessert","West Bengal","East",234,4,"EASY"
"Chingri malai curry","Coconut milk, lobster, fresh green chilli, ginger, red onion","non vegetarian",10,40,"spicy","main course","West Bengal","East",233,5,"MEDIUM"
